id,name,email,password,is_blocked,created_at
1,John Doe,john.doe@readynest.in,password123,0,2026-07-27 10:54:55.756672
2,Sneha Verma,sneha.verma@readynest.in,password123,0,2026-07-27 10:54:55.756678
3,Rahul Sharma,rahul.sharma@readynest.in,password123,0,2026-07-27 10:54:55.756680
4,Pooja Iyer,pooja.iyer@readynest.in,password123,0,2026-07-27 10:54:55.756682
5,Aman Singh,aman.singh@readynest.in,password123,0,2026-07-27 10:54:55.756684
6,Mehak Gupta,mehak.gupta@readynest.in,password123,0,2026-07-27 10:54:55.756685
7,Rohit Malhotra,rohit.malhotra@readynest.in,password123,0,2026-07-27 10:54:55.756687
8,Ananya Rao,ananya.rao@readynest.in,password123,0,2026-07-27 10:54:55.756689
9,Karan Mehta,karan.mehta@readynest.in,password123,0,2026-07-27 10:54:55.756690
10,Divya Nair,divya.nair@readynest.in,password123,0,2026-07-27 10:54:55.756692
